Month,t2.medium
10771,991
10772,991
10773,991
10774,991
10775,991
10776,991
10777,991
10778,991
10779,991
10780,991
10781,991
10782,991
10783,991
10784,991
10785,991
10786,991
10787,991
10788,991
10789,991
10790,991
10791,991
10792,991
10793,991
10794,991
10795,991
10796,991
10797,991
10798,991
10799,991
10800,991
10801,991
10802,991
10803,991
10804,991
10805,991
10806,991
10807,991
10808,991
10809,991
10810,991
10811,991
10812,991
10813,991
10814,991
10815,991
10816,991
10817,991
10818,991
10819,991
10820,991
10821,991
10822,991
10823,991
10824,991
10825,991
10826,991
10827,991
10828,991
10829,991
10830,991
10831,991
10832,991
10833,991
10834,991
10835,991
10836,991
10837,991
10838,991
10839,991
10840,991
10841,991
10842,991
10843,991
10844,991
10845,991
10846,991
10847,991
10848,991
10849,991
10850,991
10851,991
10852,991
10853,991
10854,991
10855,991
10856,991
10857,991
10858,991
10859,991
10860,991
10861,991
10862,991
10863,991
10864,991
10865,991
10866,991
10867,991
10868,991
10869,991
10870,991
10871,991
10872,991
10873,991
10874,991
10875,991
10876,991
10877,991
10878,991
10879,991
10880,991
10881,991
10882,991
10883,991
10884,991
10885,991
10886,991
10887,991
10888,991
10889,991
10890,991
10891,991
10892,991
10893,991
10894,991
10895,991
10896,991
10897,991
10898,991
10899,991
10900,991
10901,991
10902,991
10903,991
10904,991
10905,991
10906,991
10907,991
10908,991
10909,991
10910,991
10911,991
10912,991
10913,991
10914,991
10915,991
10916,991
10917,991
10918,991
10919,991
10920,991
10921,991
10922,991
10923,991
10924,991
10925,991
10926,991
10927,991
10928,991
10929,991
10930,991
10931,991
10932,991
10933,991
10934,991
10935,991
10936,991
10937,991
10938,991
10939,991
10940,991
10941,991
10942,991
10943,991
10944,991
10945,991
10946,991
10947,991
10948,991
10949,991
10950,991
10951,991
10952,991
10953,991
10954,991
10955,991
10956,991
10957,991
10958,991
10959,991
10960,991
10961,991
10962,991
10963,991
10964,991
10965,991
10966,991
10967,991
10968,991
10969,991
10970,991
10971,991
10972,991
10973,991
10974,991
10975,991
10976,991
10977,991
10978,991
10979,991
10980,991
10981,991
10982,991
10983,991
10984,991
10985,991
10986,991
10987,991
10988,991
10989,991
10990,991
10991,991
10992,991
10993,991
10994,991
10995,991
10996,991
10997,991
10998,991
10999,991
11000,991
11001,991
11002,991
11003,991
11004,991
11005,991
11006,991
11007,991
11008,991
11009,991
11010,991
11011,991
11012,991
11013,991
11014,991
11015,991
11016,991
11017,991
11018,991
11019,991
11020,991
11021,991
11022,991
11023,991
11024,991
11025,991
11026,991
11027,991
11028,991
11029,991
11030,991
11031,991
11032,991
11033,991
11034,991
11035,991
11036,991
11037,991
11038,991
11039,991
11040,991
11041,991
11042,991
11043,991
11044,991
11045,991
11046,991
11047,991
11048,991
11049,991
11050,991
11051,991
11052,991
11053,991
11054,991
11055,991
11056,991
11057,991
11058,991
11059,991
11060,991
11061,991
11062,991
11063,991
11064,991
11065,991
11066,991
11067,991
11068,991
11069,991
11070,991
11071,991
11072,991
11073,991
11074,991
11075,991
11076,991
11077,991
11078,991
11079,991
11080,991
11081,991
11082,991
11083,991
11084,991
11085,991
11086,991
11087,991
11088,991
11089,991
11090,991
11091,991
11092,991
11093,991
11094,991
11095,991
11096,991
11097,991
11098,991
11099,991
11100,991
11101,991
11102,991
11103,991
11104,991
11105,991
11106,991
11107,991
11108,991
11109,991
11110,991
11111,991
11112,991
11113,991
11114,991
11115,991
11116,991
11117,991
11118,991
11119,991
11120,991
11121,991
11122,991
11123,991
11124,991
11125,991
11126,991
11127,991
11128,991
11129,991
11130,991
11131,991
11132,991
11133,991
11134,991
11135,991
11136,991
11137,991
11138,991
11139,991
11140,991
11141,991
11142,991
11143,991
11144,991
11145,991
11146,991
11147,991
11148,991
11149,991
11150,991
11151,991
11152,991
11153,991
11154,991
11155,991
11156,991
11157,991
11158,991
11159,991
11160,991
11161,991
11162,991
11163,991
11164,991
11165,991
11166,991
11167,991
11168,991
11169,991
11170,991
11171,991
11172,991
11173,991
11174,991
11175,991
11176,991
11177,991
11178,991
11179,991
11180,991
11181,991
11182,991
11183,991
11184,991
11185,991
11186,991
11187,991
11188,991
11189,991
11190,991
11191,991
11192,991
11193,991
11194,991
11195,991
11196,991
11197,991
11198,991
11199,991
11200,991
11201,991
11202,991
11203,991
11204,991
11205,991
11206,991
11207,991
11208,991
11209,991
11210,991
11211,991
11212,991
11213,991
11214,991
11215,991
11216,991
11217,991
11218,991
11219,991
11220,991
11221,991
11222,991
11223,991
11224,991
11225,991
11226,991
11227,991
11228,991
11229,991
11230,991
11231,991
11232,991
11233,991
11234,991
11235,991
11236,991
11237,991
11238,991
11239,991
11240,991
11241,991
11242,991
11243,991
11244,991
11245,991
11246,991
11247,991
11248,991
11249,991
11250,991
11251,991
11252,991
11253,991
11254,991
11255,991
11256,991
11257,991
11258,991
11259,991
11260,991
11261,991
11262,991
11263,991
11264,991
11265,991
11266,991
11267,991
11268,991
11269,991
11270,991
11271,991
11272,991
11273,991
11274,991
11275,991
11276,991
11277,991
11278,991
11279,991
11280,991
11281,991
11282,991
11283,991
11284,991
11285,991
11286,991
11287,991
11288,991
11289,991
11290,991
11291,991
11292,991
11293,991
11294,991
11295,991
11296,991
11297,991
11298,991
11299,991
11300,991
11301,991
11302,991
11303,991
11304,991
11305,991
11306,991
11307,991
11308,991
11309,991
11310,991
11311,991
11312,991
11313,991
11314,991
11315,991
11316,991
11317,991
11318,991
11319,991
11320,991
11321,991
11322,991
11323,991
11324,991
11325,991
11326,991
11327,991
11328,991
11329,991
11330,991
11331,991
11332,991
11333,991
11334,991
11335,991
11336,991
11337,991
11338,991
11339,991
11340,991
11341,991
11342,991
11343,991
11344,991
11345,991
11346,991
11347,991
11348,991
11349,991
11350,991
11351,991
11352,991
11353,991
11354,991
11355,991
11356,991
11357,991
11358,991
11359,991
11360,991
11361,991
11362,991
11363,991
11364,991
11365,991
11366,991
11367,991
11368,991
11369,991
11370,991
11371,991
11372,991
11373,991
11374,991
11375,991
11376,991
11377,991
11378,991
11379,991
11380,991
11381,991
11382,991
11383,991
11384,991
11385,991
11386,991
11387,991
11388,991
11389,991
11390,991
11391,991
11392,991
11393,991
11394,991
11395,991
11396,991
11397,991
11398,991
11399,991
11400,991
11401,991
11402,991
11403,991
11404,991
11405,991
11406,991
11407,991
11408,991
11409,991
11410,991
11411,991
11412,991
11413,991
11414,991
11415,991
11416,991
11417,991
11418,991
11419,991
11420,991
11421,991
11422,991
11423,991
11424,991
11425,991
11426,991
11427,991
11428,991
11429,991
11430,991
11431,991
11432,991
11433,991
11434,991
11435,991
11436,991
11437,991
11438,991
11439,991
11440,824
11441,824
11442,824
11443,824
11444,824
11445,824
11446,824
11447,824
11448,824
11449,824
11450,824
11451,824
11452,824
11453,824
11454,824
11455,824
11456,824
11457,824
11458,824
11459,824
11460,824
11461,824
11462,824
11463,824
11464,824
11465,824
11466,824
11467,824
11468,824
11469,824
11470,824
11471,824
11472,824
11473,824
11474,824
11475,824
11476,824
11477,824
11478,824
11479,824
11480,824
11481,824
11482,824
11483,824
11484,824
11485,824
11486,824
11487,824
11488,824
11489,824
11490,824
11491,824
11492,824
11493,824
11494,824
11495,824
11496,824
11497,824
11498,824
11499,824
11500,824
11501,824
11502,824
11503,824
11504,824
11505,824
11506,824
11507,824
11508,824
11509,824
11510,824
11511,824
11512,824
11513,824
11514,824
11515,824
11516,824
11517,824
11518,824
11519,824
11520,824
11521,824
11522,824
11523,824
11524,824
11525,824
11526,824
11527,824
11528,824
11529,824
11530,824
11531,824
11532,824
11533,824
11534,824
11535,824
11536,824
11537,824
11538,824
11539,824
11540,824
11541,824
11542,824
11543,824
11544,824
11545,824
11546,824
11547,824
11548,824
11549,824
11550,824
11551,824
11552,824
11553,824
11554,824
11555,824
11556,824
11557,824
11558,824
11559,824
11560,824
11561,824
11562,824
11563,824
11564,824
11565,824
11566,824
11567,824
11568,824
11569,824
11570,824
11571,824
11572,824
11573,824
11574,824
11575,824
11576,824
11577,824
11578,824
11579,824
11580,824
11581,824
11582,824
11583,824
11584,824
11585,824
11586,824
11587,824
11588,824
11589,824
11590,824
11591,824
11592,824
11593,824
11594,824
11595,824
11596,824
11597,824
11598,824
11599,824
11600,824
11601,824
11602,824
